Event Name,Event Date,Rated,Round,Player 1,Player 2,Result
"TGE Draft On-Demand","March 19, 2023, 8 p.m.","False",2,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 1 Win"
"TGE Draft On-Demand","March 19, 2023, 8 p.m.","False",3,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Player 2 Win"
"Outsiders Pre-Release!","March 19, 2023, 4 p.m.","False",1,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 2 Win"
"Outsiders Pre-Release!","March 19, 2023, 4 p.m.","False",2,"Lansangan, Nathaniel (12242261)","Stanley, isaac (67696938)","Draw"
"Outsiders Pre-Release!","March 19, 2023, 4 p.m.","False",3,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 1 Win"
"TGE On-Demand Draft","March 17, 2023, 10:30 p.m.","False",1,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 1 Win"
"TGE On-Demand Draft","March 17, 2023, 10:30 p.m.","False",2,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 1 Win"
"TGE On-Demand Draft","March 17, 2023, 10:30 p.m.","False",3,"Richard, Paden (43822525)","Stanley, isaac (67696938)","Player 2 Win"
"Tuesday Flesh And Blood Locals","March 17, 2023, 11:39 a.m.","False",1,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"Tuesday Flesh And Blood Locals","March 17, 2023, 11:39 a.m.","False",2,"Stanley, isaac (67696938)","caldwell, lauren (63551275)","Player 1 Win"
"Tuesday Flesh And Blood Locals","March 17, 2023, 11:39 a.m.","False",3,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 10, 2023, 12:26 p.m.","False",1,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 10, 2023, 12:26 p.m.","False",2,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 10, 2023, 12:26 p.m.","False",3,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 2 Win"
"Draft on Demand","March 2, 2023, 10 p.m.","False",1,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 1 Win"
"Draft on Demand","March 2, 2023, 10 p.m.","False",2,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"Draft on Demand","March 2, 2023, 10 p.m.","False",3,"McCoy, Chris (93772277)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 2, 2023, 6:30 p.m.","False",1,"Stanley, isaac (67696938)","matthews, jonathon (84972774)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 2, 2023, 6:30 p.m.","False",2,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 2, 2023, 6:30 p.m.","False",3,"Stanley, isaac (67696938)","Pence, Jon (68664935)","Player 1 Win"
"Thursday Flesh and Blood Locals","March 2, 2023, 6:30 p.m.","False",4,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 24, 2023, 2:13 p.m.","False",1,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 24, 2023, 2:13 p.m.","False",2,"Stanley, isaac (67696938)","McCoy, Chris (93772277)","Player 2 Win"
"Thursday Flesh and Blood Locals","Feb. 24, 2023, 2:13 p.m.","False",3,"Stanley, isaac (67696938)","Hawks, Dakota (86729596)","Player 2 Win"
"Thursday Flesh and Blood Locals","Feb. 24, 2023, 12:19 p.m.","False",1,"Stanley, isaac (67696938)","Lombardo, Gabriel (96352844)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 24, 2023, 12:19 p.m.","False",2,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 24, 2023, 12:19 p.m.","False",3,"Richard, Paden (43822525)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Booster Draft","Feb. 16, 2023, 8:30 p.m.","False",1,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"TGE Booster Draft","Feb. 16, 2023, 8:30 p.m.","False",2,"Stanley, isaac (67696938)","Pence, Jon (68664935)","Player 1 Win"
